DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx
05/29/1970,-0.064346,-0.069931,-0.090524,-0.093313,-0.060967,76.55
06/30/1970,-0.051067,-0.053372,-0.073888,-0.076505,-0.050033,72.72
07/31/1970,0.074170,0.072132,0.059258,0.057738,0.073295,78.05
08/31/1970,0.050036,0.044584,0.061617,0.058410,0.044459,81.52
09/30/1970,0.047535,0.045600,0.126098,0.123935,0.032998,84.21
10/30/1970,-0.018208,-0.020450,-0.058604,-0.060054,-0.011400,83.25
11/30/1970,0.050448,0.045355,0.003021,-0.000012,0.047447,87.20
12/31/1970,0.060723,0.058969,0.081324,0.079062,0.056766,92.15
01/29/1971,0.052030,0.050772,0.136096,0.134878,0.040477,95.88
02/26/1971,0.016913,0.012412,0.047910,0.045661,0.009074,96.75
03/31/1971,0.044778,0.042972,0.056603,0.054652,0.036796,100.31
04/30/1971,0.033332,0.032300,0.027087,0.026117,0.036288,103.95
05/28/1971,-0.036409,-0.040737,-0.049435,-0.051606,-0.041558,99.63
06/30/1971,0.003119,0.001385,-0.017240,-0.019225,0.000703,99.70
07/30/1971,-0.040283,-0.041317,-0.053634,-0.054647,-0.041324,95.58
08/31/1971,0.042511,0.037666,0.041159,0.038638,0.036095,99.03
09/30/1971,-0.005016,-0.006491,-0.004653,-0.006263,-0.006968,98.34
10/29/1971,-0.040683,-0.042346,-0.057468,-0.058690,-0.041794,94.23
11/30/1971,-0.001262,-0.005696,-0.034150,-0.036769,-0.002547,93.99
12/31/1971,0.091257,0.089557,0.117128,0.115263,0.086179,102.09
01/31/1972,0.028382,0.027169,0.103892,0.102766,0.018121,103.94
02/29/1972,0.031349,0.027272,0.041809,0.039598,0.025303,106.57
03/30/1972,0.008723,0.007248,-0.000951,-0.002463,0.005912,107.20
04/28/1972,0.005505,0.004723,0.001231,0.000226,0.004384,107.67
05/31/1972,0.016375,0.011960,-0.018121,-0.020428,0.017275,109.53
06/30/1972,-0.020897,-0.022412,-0.033775,-0.035508,-0.021821,107.14
07/31/1972,-0.004254,-0.005310,-0.029488,-0.030578,0.002333,107.39
08/31/1972,0.035966,0.031857,0.012252,0.009888,0.034454,111.09
09/29/1972,-0.007670,-0.009085,-0.030725,-0.032321,-0.004861,110.55
10/31/1972,0.008676,0.007358,-0.013767,-0.015137,0.009317,111.58
11/30/1972,0.049764,0.045305,0.051096,0.048565,0.045617,116.67
12/29/1972,0.011243,0.009903,-0.019873,-0.021639,0.011828,118.05
01/31/1973,-0.027454,-0.028654,-0.026131,-0.027071,-0.017111,116.03
02/28/1973,-0.044370,-0.047916,-0.072835,-0.074537,-0.037490,111.68
03/30/1973,-0.007857,-0.009330,-0.028976,-0.030670,-0.001433,111.52
04/30/1973,-0.051769,-0.052965,-0.070620,-0.071806,-0.040800,106.97
05/31/1973,-0.024508,-0.028777,-0.083582,-0.085729,-0.018884,104.95
06/29/1973,-0.008648,-0.010424,-0.037745,-0.039765,-0.006575,104.26
07/31/1973,0.056961,0.055514,0.105922,0.104605,0.037982,108.22
08/31/1973,-0.029657,-0.034039,-0.044417,-0.046845,-0.036685,104.25
09/28/1973,0.053931,0.052530,0.072995,0.071180,0.040096,108.43
10/31/1973,-0.000415,-0.002142,0.000303,-0.001281,-0.001291,108.29
11/30/1973,-0.120713,-0.125557,-0.175252,-0.177771,-0.113861,95.96
12/31/1973,0.011437,0.009421,-0.041764,-0.044618,0.016569,97.55
01/31/1974,0.004413,0.002808,0.132374,0.130657,-0.010046,96.57
02/28/1974,0.002345,-0.002452,0.008623,0.005897,-0.003624,96.22
03/29/1974,-0.023364,-0.025299,0.008379,0.005881,-0.023280,93.98
04/30/1974,-0.045961,-0.047694,-0.055537,-0.057413,-0.039051,90.31
05/31/1974,-0.041981,-0.047321,-0.072545,-0.075724,-0.033551,87.28
06/28/1974,-0.022942,-0.025407,-0.033483,-0.036422,-0.014665,86.00
07/31/1974,-0.070874,-0.072695,-0.051915,-0.053866,-0.077791,79.31
08/30/1974,-0.087757,-0.094578,-0.085788,-0.089487,-0.090279,72.15
09/30/1974,-0.109718,-0.112274,-0.079025,-0.082350,-0.119335,63.54
10/31/1974,0.165584,0.162459,0.088877,0.086209,0.163047,73.90
11/29/1974,-0.041046,-0.048241,-0.051395,-0.055392,-0.053180,69.97
12/31/1974,-0.027005,-0.030302,-0.080744,-0.085128,-0.020151,68.56
01/31/1975,0.141600,0.139591,0.299260,0.296883,0.122812,76.98
02/28/1975,0.058412,0.051629,0.053918,0.050479,0.059886,81.59
03/31/1975,0.030190,0.027442,0.081497,0.078056,0.021694,83.36
04/30/1975,0.046497,0.044433,0.031093,0.029177,0.047265,87.30
05/30/1975,0.055140,0.049542,0.072876,0.069617,0.044101,91.15
06/30/1975,0.051473,0.048958,0.071792,0.068783,0.044323,95.19
07/31/1975,-0.060385,-0.062318,-0.008960,-0.010665,-0.067654,88.75
08/29/1975,-0.023558,-0.028960,-0.048118,-0.051135,-0.021070,86.88
09/30/1975,-0.038010,-0.040486,-0.038867,-0.041815,-0.034645,83.87
10/31/1975,0.055857,0.053272,0.014720,0.012648,0.061643,89.04
11/28/1975,0.031222,0.025801,0.016740,0.013726,0.024708,91.24
12/31/1975,-0.010998,-0.013677,-0.000599,-0.004293,-0.011508,90.19
01/30/1976,0.126012,0.124372,0.190037,0.188452,0.118306,100.86
02/27/1976,0.007310,0.002081,0.106291,0.103583,-0.011402,99.71
03/31/1976,0.026740,0.024295,0.018109,0.015123,0.030689,102.77
04/30/1976,-0.010402,-0.011668,-0.003810,-0.005374,-0.010995,101.64
05/28/1976,-0.009326,-0.015305,-0.019680,-0.022656,-0.014364,100.18
06/30/1976,0.044521,0.042168,0.026510,0.023831,0.040926,104.28
07/30/1976,-0.006136,-0.007574,0.002236,0.000738,-0.008055,103.44
08/31/1976,-0.001398,-0.007387,-0.016673,-0.019731,-0.005124,102.91
09/30/1976,0.024513,0.022385,0.016990,0.014357,0.022641,105.24
10/29/1976,-0.020372,-0.022249,-0.022586,-0.024320,-0.022235,102.90
11/30/1976,0.005363,-0.001438,0.026686,0.023285,-0.007775,102.10
12/31/1976,0.061591,0.059300,0.102410,0.099410,0.052498,107.46
01/31/1977,-0.036326,-0.037995,0.036903,0.035208,-0.050530,102.03
02/28/1977,-0.015744,-0.021770,0.004400,0.001523,-0.021660,99.82
03/31/1977,-0.009249,-0.011797,0.010654,0.007811,-0.014025,98.42
04/29/1977,0.004962,0.003564,0.016931,0.015404,0.000203,98.44
05/31/1977,-0.010777,-0.018005,0.002870,-0.000317,-0.023568,96.12
06/30/1977,0.051369,0.048712,0.051503,0.048776,0.045360,100.48
07/29/1977,-0.012806,-0.014162,0.012362,0.010823,-0.016222,98.85
08/31/1977,-0.013338,-0.020278,-0.001211,-0.004364,-0.021042,96.77
09/30/1977,0.001572,-0.001008,0.014968,0.012288,-0.002480,96.53
10/31/1977,-0.039278,-0.041312,-0.023190,-0.024953,-0.043406,92.34
11/30/1977,0.045440,0.037081,0.070872,0.067318,0.026966,94.83
12/30/1977,0.008223,0.005497,0.021081,0.017977,0.002847,95.10
01/31/1978,-0.055199,-0.057209,-0.011152,-0.012828,-0.061514,89.25
02/28/1978,-0.009275,-0.016700,0.026008,0.022790,-0.024762,87.04
03/31/1978,0.034009,0.030865,0.067839,0.064899,0.024931,89.21
04/28/1978,0.082853,0.081203,0.079317,0.077721,0.085416,96.83
05/31/1978,0.023230,0.015499,0.067620,0.064189,0.004234,97.24
06/30/1978,-0.010748,-0.013740,0.010292,0.007505,-0.017585,95.53
07/31/1978,0.056741,0.054868,0.052394,0.050793,0.053910,100.68
08/31/1978,0.042370,0.035504,0.093578,0.090569,0.025924,103.29
09/29/1978,-0.006889,-0.009456,0.006200,0.003747,-0.007261,102.54
10/31/1978,-0.110995,-0.113600,-0.177280,-0.179170,-0.091574,93.15
11/30/1978,0.033787,0.025752,0.038205,0.034625,0.016640,94.70
12/29/1978,0.017708,0.014580,0.014346,0.010982,0.014889,96.11
01/31/1979,0.049530,0.047019,0.093695,0.091794,0.039746,99.93
02/28/1979,-0.026765,-0.033781,-0.016269,-0.019408,-0.036526,96.28
03/30/1979,0.065613,0.062472,0.084167,0.081208,0.055152,101.59
04/30/1979,0.008520,0.006438,0.028815,0.026863,0.001673,101.76
05/31/1979,-0.013571,-0.021458,-0.006845,-0.010160,-0.026336,99.08
